PRECINCT,D_votes,R_votes
TRURO-B,249,150
URBANCREST-A,190,19
VALLEYVIEW-A,98,115
WESTERVILLE 03-A,49,18
WESTERVILLE 03-B,17,6
WESTERVILLE 03-C,172,56
WESTERVILLE 03-D,396,225
WESTERVILLE 05-B,251,51
WHITEHALL 01-A,425,126
WHITEHALL 01-B,345,209
WHITEHALL 02-A,331,132
WHITEHALL 02-B,204,136
WHITEHALL 02-C,329,63
WHITEHALL 03-A,310,255
WHITEHALL 03-B,216,140
WHITEHALL 03-C,268,113
WHITEHALL 04-A,339,147
WHITEHALL 04-B,361,143
WHITEHALL 04-C,434,118
WORTHINGTON 02-B,0,1
WORTHINGTON 04-D,0,4
